,clean_tweet
0,කොටි වැළලූ රන් සොයන්න ගිය පී සී ඇතුළු හතක් මාට්ටු
1,සුඛෝපභෝගී විලාසිතා සන්නාමයක් වනහි ප්‍රචාරණ ව්‍යාපාරයක් සඳහා සැබෑ කොටියන් භාවිතා කිරීම නිසා ගැටලුකාරී තත්වක් ඇතිව තිබේ මෙම මස මුලදී ඉතාලි නිර්මාණකරු වකු විසින් එකතුව පෙබරවාරිවනදා ආරම්භ වන ‘ චීන කොටි වර්ෂය ‘ සැමරීම සඳහා දියත් කරන ලදී
2,අඩෝ උඹේ ගේ පිටිපස්සෙ කොටි ගැහුවද
3,ලොක්කාගේ බැංකු ගිණුමේ කොටි පහකට මෝඩ යකා කෙලලා
4,එහෙමලුකූඹි කාලා කොටි මැරුණා කියනවලුනෙ
5,"මෙච්චරකල් හිතාගෙන හිටියෙ මේ කතාව හදපු එකක් කියලහමුදාවට ආයුද හිඟවුන කාලෙක ඊලඟ ආයුධ නැව එනකං කඳානෙං අල්ලගත්ත පොන්නයො සෙට්ටෙකක් යැවුවළු ෆ්‍රන්ට් එකටදවස් ගානකට පස්සෙ සීරුමක්වත් නැතුව පොන්නයො සෙට්ටෙක ආපහු එනවළු "" කවුද කිවුවෙ කොටි නරකයි කියල ? හෙටත් එන්න කොටී "" කියාගෙන"
6,ඔව්ඒ දිමුත්කොලඹ කොටි බෝම්බ ගහන කාලෙ කොටුවේ රේල්වෙ ස්ටෙශන් එකෙ බෝම්බෙට අහූනා හරිම හොඳ එකෙක්
7,කැනඩාව කියනෙ කොටි ගුහාවක්නේඋන්ට රාජපක්ෂලා අරහංකොටි හුරතල් කරානම් මේ මොනවත් ප්‍රශ්න නෑ
8,රිදිගම සෆාරි එකේ අලුත් කොටි පැටියා අද ඉදන් තමයි මිනිස්සුන්ට බලන්න දෙන්නේ එකේම හැදිච්ච එක්කෙනෙක්
9,මේ ලක්ශ න් අංශුමාත්‍රයකී අලි කොටි ඔටු ජෙපි නපුංසක සෙට් එක හීනයක හිටියා කියා උන්ටම හිතෙන දිනය ඊලඟට එන චන්දේ දවසේ අපේ හාමුදුරුවනේ
